GCF_000005845.2_ASM584v2_genomic.fna	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000007445.1_ASM744v1_genomic.fna	ecoli	73	adk(36)	fumC(24)	gyrB(9)	icd(13)	mdh(17)	purA(11)	recA(25)
GCF_000008865.2_ASM886v2_genomic.fna	ecoli	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_000009565.1_ASM956v1_genomic.fna	ecoli	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
GCF_000010245.2_ASM1024v1_genomic.fna	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000010385.1_ASM1038v1_genomic.fna	ecoli	156	adk(6)	fumC(29)	gyrB(32)	icd(16)	mdh(11)	purA(8)	recA(44)
GCF_000010485.1_ASM1048v1_genomic.fna	ecoli	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_000010745.1_ASM1074v1_genomic.fna	ecoli	17	adk(6)	fumC(4)	gyrB(3)	icd(17)	mdh(7)	purA(7)	recA(6)
GCF_000010765.1_ASM1076v1_genomic.fna	ecoli	16	adk(6)	fumC(4)	gyrB(12)	icd(16)	mdh(9)	purA(7)	recA(12)
GCF_000013265.1_ASM1326v1_genomic.fna	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_000013305.1_ASM1330v1_genomic.fna	ecoli	127	adk(13)	fumC(14)	gyrB(19)	icd(36)	mdh(23)	purA(11)	recA(10)
GCF_000017745.1_ASM1774v1_genomic.fna	ecoli	1132	adk(6)	fumC(213)	gyrB(33)	icd(1)	mdh(24)	purA(8)	recA(7)
GCF_000017765.1_ASM1776v1_genomic.fna	ecoli	46	adk(8)	fumC(7)	gyrB(1)	icd(8)	mdh(8)	purA(8)	recA(6)
GCF_000017985.1_ASM1798v1_genomic.fna	ecoli	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
GCF_000019385.1_ASM1938v1_genomic.fna	ecoli	3021	adk(8)	fumC(7)	gyrB(4)	icd(8)	mdh(8)	purA(18)	recA(233)
GCF_000019425.1_ASM1942v1_genomic.fna	ecoli	1060	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(128)
GCF_000019645.1_ASM1964v1_genomic.fna	ecoli	354	adk(85)	fumC(88)	gyrB(78)	icd(29)	mdh(59)	purA(58)	recA(62)
GCF_000021125.1_ASM2112v1_genomic.fna	ecoli	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_000022225.1_ASM2222v1_genomic.fna	ecoli	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_000022345.1_ASM2234v1_genomic.fna	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000022665.1_ASM2266v1_genomic.fna	ecoli	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
GCF_000023365.1_ASM2336v1_genomic.fna	ecoli	1060	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(128)
GCF_000023665.1_ASM2366v1_genomic.fna	ecoli	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
GCF_000025165.1_ASM2516v1_genomic.fna	ecoli	335	adk(29)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_000025745.1_ASM2574v1_genomic.fna	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_000026245.1_ASM2624v1_genomic.fna	ecoli	678	adk(6)	fumC(6)	gyrB(5)	icd(136)	mdh(9)	purA(7)	recA(7)
GCF_000026265.1_ASM2626v1_genomic.fna	ecoli	1128	adk(9)	fumC(65)	gyrB(5)	icd(1)	mdh(9)	purA(8)	recA(6)
GCF_000026285.1_ASM2628v2_genomic.fna	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_000026345.1_ASM2634v1_genomic.fna	ecoli	62	adk(28)	fumC(33)	gyrB(25)	icd(29)	mdh(7)	purA(11)	recA(24)
GCF_000026545.1_ASM2654v1_genomic.fna	ecoli	15	adk(15)	fumC(15)	gyrB(11)	icd(15)	mdh(18)	purA(11)	recA(11)
GCF_000027125.1_ASM2712v1_genomic.fna	ecoli	414	adk(18)	fumC(22)	gyrB(20)	icd(23)	mdh(5)	purA(15)	recA(4)
GCF_000091005.1_ASM9100v1_genomic.fna	ecoli	21	adk(16)	fumC(4)	gyrB(12)	icd(16)	mdh(9)	purA(7)	recA(7)
GCF_000148365.1_ASM14836v1_genomic.fna	ecoli	73	adk(36)	fumC(24)	gyrB(9)	icd(13)	mdh(17)	purA(11)	recA(25)
GCF_000148605.1_ASM14860v1_genomic.fna	ecoli	643	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(95)	purA(11)	recA(26)
GCF_000167875.2_ASM16787v2_genomic.fna	ecoli	381	adk(6)	fumC(4)	gyrB(12)	icd(92)	mdh(24)	purA(18)	recA(7)
GCF_000183345.1_ASM18334v1_genomic.fna	ecoli	135	adk(13)	fumC(39)	gyrB(50)	icd(13)	mdh(16)	purA(37)	recA(25)
GCF_000184185.1_ASM18418v1_genomic.fna	ecoli	1079	adk(6)	fumC(19)	gyrB(14)	icd(16)	mdh(11)	purA(12)	recA(2)
GCF_000210475.1_ASM21047v1_genomic.fna	ecoli	48	adk(6)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000212715.2_ASM21271v2_genomic.fna	ecoli	100	adk(10)	fumC(27)	gyrB(5)	icd(10)	mdh(12)	purA(9)	recA(2)
GCF_000219515.2_ASM21951v3_genomic.fna	ecoli	5147	adk(154)	fumC(187)	gyrB(22)	icd(52)	mdh(180)	purA(129)	recA(19)
GCF_000227625.1_ASM22762v1_genomic.fna	ecoli	62	adk(28)	fumC(33)	gyrB(25)	icd(29)	mdh(7)	purA(11)	recA(24)
GCF_000233875.1_ASM23387v1_genomic.fna	ecoli	73	adk(36)	fumC(24)	gyrB(9)	icd(13)	mdh(17)	purA(11)	recA(25)
GCF_000233895.1_ASM23389v1_genomic.fna	ecoli	73	adk(36)	fumC(24)	gyrB(9)	icd(13)	mdh(17)	purA(11)	recA(25)
GCF_000245515.1_ASM24551v1_genomic.fna	ecoli	335	adk(29)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_000258025.1_ASM25802v1_genomic.fna	ecoli	1079	adk(6)	fumC(19)	gyrB(14)	icd(16)	mdh(11)	purA(12)	recA(2)
GCF_000258145.1_ASM25814v1_genomic.fna	ecoli	1079	adk(6)	fumC(19)	gyrB(14)	icd(16)	mdh(11)	purA(12)	recA(2)
GCF_000262125.1_ASM26212v1_genomic.fna	ecoli	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_000270105.1_ASM27010v1_genomic.fna	ecoli	1060	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(128)
GCF_000284495.1_ASM28449v1_genomic.fna	ecoli	135	adk(13)	fumC(39)	gyrB(50)	icd(13)	mdh(16)	purA(37)	recA(25)
GCF_000285655.3_EC958.v1_genomic.fna	ecoli	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_000299255.1_ASM29925v1_genomic.fna	ecoli	678	adk(6)	fumC(6)	gyrB(5)	icd(136)	mdh(9)	purA(7)	recA(7)
GCF_000299455.1_ASM29945v1_genomic.fna	ecoli	678	adk(6)	fumC(6)	gyrB(5)	icd(136)	mdh(9)	purA(7)	recA(7)
GCF_000299475.1_ASM29947v1_genomic.fna	ecoli	678	adk(6)	fumC(6)	gyrB(5)	icd(136)	mdh(9)	purA(7)	recA(7)
GCF_000332755.1_ASM33275v1_genomic.fna	ecoli	23	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(13)	recA(7)
GCF_000464955.2_ASM46495v2_genomic.fna	ecoli	672	adk(6)	fumC(4)	gyrB(126)	icd(136)	mdh(11)	purA(8)	recA(6)
GCF_000468515.1_ASM46851v1_genomic.fna	ecoli	1079	adk(6)	fumC(19)	gyrB(14)	icd(16)	mdh(11)	purA(12)	recA(2)
GCF_000493755.1_ASM49375v1_genomic.fna	ecoli	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_000499485.1_MYMC4100_genomic.fna	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000520035.1_ASM52003v1_genomic.fna	ecoli	32	adk(19)	fumC(23)	gyrB(18)	icd(24)	mdh(21)	purA(2)	recA(16)
GCF_000520055.1_ASM52005v1_genomic.fna	ecoli	6130	adk(19)	fumC(23)	gyrB(51)	icd(24)	mdh(21)	purA(5)	recA(16)
GCF_000597845.1_ASM59784v1_genomic.fna	ecoli	540	adk(6)	fumC(7)	gyrB(57)	icd(1)	mdh(8)	purA(8)	recA(2)
GCF_000599625.1_ASM59962v1_genomic.fna	ecoli	540	adk(6)	fumC(7)	gyrB(57)	icd(1)	mdh(8)	purA(8)	recA(2)
GCF_000599645.1_ASM59964v1_genomic.fna	ecoli	540	adk(6)	fumC(7)	gyrB(57)	icd(1)	mdh(8)	purA(8)	recA(2)
GCF_000599665.1_ASM59966v1_genomic.fna	ecoli	6131	adk(261)	fumC(160)	gyrB(2)	icd(63)	mdh(5)	purA(5)	recA(4)
GCF_000599685.1_ASM59968v1_genomic.fna	ecoli	6131	adk(261)	fumC(160)	gyrB(2)	icd(63)	mdh(5)	purA(5)	recA(4)
GCF_000599705.1_ASM59970v1_genomic.fna	ecoli	6131	adk(261)	fumC(160)	gyrB(2)	icd(63)	mdh(5)	purA(5)	recA(4)
